college_season,draft_year_if_final_college_season,source_date,teamrankings_team,team_key,tr_sos_rank,tr_sos_rating,source_url,tr_sos_rank_pct,tr_sos_z
2025,2026,2026-01-20,Stanford,stanford,58,3.8,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.5777777777777777,0.39628317622410614
2025,2026,2026-01-20,Virginia,virginia,59,3.8,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.5703703703703704,0.39628317622410614
2025,2026,2026-01-20,Houston,houston,60,3.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.5629629629629629,0.3122699073753478
2025,2026,2026-01-20,S Florida,southflorida,61,3.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.5555555555555556,0.3122699073753478
2025,2026,2026-01-20,Maryland,maryland,62,3.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.5481481481481482,0.3122699073753478
2025,2026,2026-01-20,Boston College,bostoncollege,63,2.4,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.5407407407407407,0.24925995573877913
2025,2026,2026-01-20,Syracuse,syracuse,64,2.4,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.5333333333333333,0.24925995573877913
2025,2026,2026-01-20,UCF,centralflorida,65,1.8,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.5259259259259259,0.18625000410221046
2025,2026,2026-01-20,Wake Forest,wakeforest,66,1.7,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.5185185185185186,0.17574834549611565
2025,2026,2026-01-20,Tulane,tulane,67,1.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.5111111111111111,0.10223673525345216
2025,2026,2026-01-20,Washington St,washingtonstate,68,0.7,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.5037037037037038,0.0707317594351678
2025,2026,2026-01-20,California,california,69,-0.1,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.49629629629629635,-0.013281509413590482
2025,2026,2026-01-20,Oklahoma St,oklahomastate,70,-0.4,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.48888888888888893,-0.04478648523187484
