position,pfr_name,feature_coverage,mean_5nn_distance,neighbor_density_percentile,model_confidence_score,model_confidence,out_of_distribution_flag,nearest5_historical_hit_rate,nearest5_historical_star_rate,nearest5_historical_primary_ppg_mean,closest_historical_comps,closest_comp_1,closest_comp_2,closest_comp_3,similarity_feature_count,historical_reference_n
WR,Reggie Virgil,0.9847328244274809,0.8330094800793267,17.4061433447099,41.72628507412135,Medium,0,0.0,0.0,3.5401470588235298,Marvin Jones (2012); Parris Campbell (2019); Kenny Bell (2015); Donovan Peoples-Jones (2020); Ronald Johnson (2011),Marvin Jones (2012),Parris Campbell (2019),Kenny Bell (2015),131,586
WR,Kendrick Law,0.9847328244274809,0.530340244448118,80.88737201365188,86.16314514238074,High,0,0.0,0.0,2.350875,Cornell Powell (2021); Ray-Ray McCloud (2018); Ace Sanders (2013); Brice Butler (2013); David Gettis (2010),Cornell Powell (2021),Ray-Ray McCloud (2018),Ace Sanders (2013),131,586
WR,Cyrus Allen,0.9847328244274809,0.7239313239237629,32.42320819112628,52.23823046661282,Medium,0,0.0,0.0,0.913125,Josh Huff (2014); Josh Boyce (2013); Tavarres King (2013); Jalen Saunders (2014); Joe Adams (2012),Josh Huff (2014),Josh Boyce (2013),Tavarres King (2013),131,586
WR,Kevin Coleman Jr.,1.0,0.5699833777783553,71.84300341296928,80.2901023890785,High,0,0.0,0.0,1.186875,Chansi Stuckey (2007); Jordan Payton (2016); Alan Bonner (2013); Isaiah Coulter (2020); Walt Powell (2014),Chansi Stuckey (2007),Jordan Payton (2016),Alan Bonner (2013),131,586
WR,Barion Brown,1.0,0.5984082074494701,64.84641638225256,75.39249146757679,High,0,0.2,0.2,5.728970588235294,Hunter Renfrow (2019); Michael Woods (2022); Jacoby Ford (2010); Derrick Williams (2009); Darius Slayton (2019),Hunter Renfrow (2019),Michael Woods (2022),Jacoby Ford (2010),131,586
WR,Josh Cameron,1.0,0.6156345158351282,59.89761092150171,71.92832764505118,High,0,0.0,0.0,1.7449999999999999,Keenan Burton (2008); Olabisi Johnson (2019); Jeff Janis (2014); Tre McBride (2015); Aaron Mellette (2013),Keenan Burton (2008),Olabisi Johnson (2019),Jeff Janis (2014),131,586
WR,Malik Benson,0.9847328244274809,0.5509467675912054,78.32764505119454,84.3713362686606,High,0,0.0,0.0,3.144375,T.J. Graham (2012); Terry Godwin (2019); Keith Mumphery (2015); Manuel Johnson (2009); Darius Slayton (2019),T.J. Graham (2012),Terry Godwin (2019),Keith Mumphery (2015),131,586
WR,CJ Daniels,1.0,0.8798299478614275,12.286689419795222,38.600682593856654,Medium,0,0.0,0.0,1.0115441176470585,Chris Harper (2013); Joe Adams (2012); Travis Benjamin (2012); Greg Childs (2012); K.J. Hill (2020),Chris Harper (2013),Joe Adams (2012),Travis Benjamin (2012),131,586
WR,Emmanuel Henderson Jr.,0.9847328244274809,0.8181775993939098,18.43003412969283,42.44300862360941,Medium,0,0.0,0.0,2.1683088235294115,Javon Wims (2018); Miles Boykin (2019); Anthony Schwartz (2021); Tommy Streeter (2012); Isaiah McKenzie (2017),Javon Wims (2018),Miles Boykin (2019),Anthony Schwartz (2021),131,586
WR,CJ Williams,0.9847328244274809,0.6633335983512543,47.269624573378834,62.63072193418961,Medium,0,0.0,0.0,3.011875,Ricardo Louis (2016); Shaquelle Evans (2014); Malcolm Mitchell (2016); Jacoby Ford (2010); Keshawn Martin (2012),Ricardo Louis (2016),Shaquelle Evans (2014),Malcolm Mitchell (2016),131,586
