position,target,family,feature_set,n_features_listed,model_spec,reference_n,matched_n,rmse,mae,max_abs,pearson,spearman,error
RB,hit3,cat,draftcap_plus_top24,30,cat3_unweighted,86,86,0.21506986013485935,0.1338038450545362,0.7180930943420479,0.6699907116310653,0.5638662201047219,
RB,hit3,cat,draftcap_plus_top24,30,cat4_unweighted,86,86,0.20344486735086378,0.1283805187251794,0.6348594706218125,0.681703584938452,0.5600735883768102,
RB,hit3,cat,draftcap_plus_top24,30,cat3_balanced,86,86,0.2789381659556219,0.1627632491446916,0.8335264963562242,0.6599695143398158,0.5779234869569319,
RB,hit3,cat,draftcap_plus_top24,30,cat4_balanced,86,86,0.2785817965501214,0.15988849751852688,0.840161221514972,0.6666286832507915,0.5507523939808481,
RB,hit3,cat,draftcap_plus_top24,30,cat3_scaled,86,86,0.2789381659556219,0.1627632491446916,0.8335264963562242,0.6599695143398158,0.5779234869569319,
RB,hit3,cat,draftcap_plus_top24,30,cat4_scaled,86,86,0.2785817965501214,0.15988849751852688,0.840161221514972,0.6666286832507915,0.5507523939808481,
RB,hit3,cat,draftcap_plus_top24,30,cat3_balanced_imp,86,0,inf,inf,inf,,,"AttributeError(""The following error was raised: 'CatBoostClassifier' object has no attribute '__sklearn_tags__'. It seems that there are no classes that implement `__sklearn_tags__` in the MRO and/or all classes in the MRO call `super().__sklearn_tags__()`. Make sure to inherit from `BaseEstimator` which implements `__sklearn_tags__` (or alternatively define `__sklearn_tags__` but we don't recommend this approach). Note that `BaseEstimator` needs to be on the right side of other Mixins in the inheritance order."")"
RB,hit3,cat,draftcap_plus_top24,30,cat4_balanced_imp,86,0,inf,inf,inf,,,"AttributeError(""The following error was raised: 'CatBoostClassifier' object has no attribute '__sklearn_tags__'. It seems that there are no classes that implement `__sklearn_tags__` in the MRO and/or all classes in the MRO call `super().__sklearn_tags__()`. Make sure to inherit from `BaseEstimator` which implements `__sklearn_tags__` (or alternatively define `__sklearn_tags__` but we don't recommend this approach). Note that `BaseEstimator` needs to be on the right side of other Mixins in the inheritance order."")"
RB,hit3,cat,ranked_top32,32,cat3_unweighted,86,86,0.22038525515493657,0.13496094685026352,0.7734056070912605,0.6758180301804079,0.5383367139959432,
RB,hit3,cat,ranked_top32,32,cat4_unweighted,86,86,0.20566904420840207,0.13006003912234357,0.6348188749734923,0.6776160597478933,0.5570357092315675,
RB,hit3,cat,ranked_top32,32,cat3_balanced,86,86,0.28488953056451494,0.165239764563765,0.8596449427940261,0.6513113757201973,0.5853011934525213,
RB,hit3,cat,ranked_top32,32,cat4_balanced,86,86,0.27612901050423166,0.1591925414516676,0.8504871358333066,0.6783210194319579,0.5347516392282655,
RB,hit3,cat,ranked_top32,32,cat3_scaled,86,86,0.28488953056451494,0.165239764563765,0.8596449427940261,0.6513113757201973,0.5853011934525213,
RB,hit3,cat,ranked_top32,32,cat4_scaled,86,86,0.27612901050423166,0.1591925414516676,0.8504871358333066,0.6783210194319579,0.5347516392282655,
RB,hit3,cat,ranked_top32,32,cat3_balanced_imp,86,0,inf,inf,inf,,,"AttributeError(""The following error was raised: 'CatBoostClassifier' object has no attribute '__sklearn_tags__'. It seems that there are no classes that implement `__sklearn_tags__` in the MRO and/or all classes in the MRO call `super().__sklearn_tags__()`. Make sure to inherit from `BaseEstimator` which implements `__sklearn_tags__` (or alternatively define `__sklearn_tags__` but we don't recommend this approach). Note that `BaseEstimator` needs to be on the right side of other Mixins in the inheritance order."")"
RB,hit3,cat,ranked_top32,32,cat4_balanced_imp,86,0,inf,inf,inf,,,"AttributeError(""The following error was raised: 'CatBoostClassifier' object has no attribute '__sklearn_tags__'. It seems that there are no classes that implement `__sklearn_tags__` in the MRO and/or all classes in the MRO call `super().__sklearn_tags__()`. Make sure to inherit from `BaseEstimator` which implements `__sklearn_tags__` (or alternatively define `__sklearn_tags__` but we don't recommend this approach). Note that `BaseEstimator` needs to be on the right side of other Mixins in the inheritance order."")"
RB,hit3,cat,draftcap_plus_top32,38,cat3_unweighted,86,86,0.2205148651516919,0.1359452311619104,0.7668105744594804,0.6679401417057667,0.5808481532147742,
RB,hit3,cat,draftcap_plus_top32,38,cat4_unweighted,86,86,0.21338024999975583,0.13110791209690814,0.7206918924921112,0.6736654483379543,0.5828105099297136,
RB,hit3,cat,draftcap_plus_top32,38,cat3_balanced,86,86,0.27894585811423706,0.1597889518763431,0.8648813724337153,0.6710523789889665,0.5559224491721307,
RB,hit3,cat,draftcap_plus_top32,38,cat4_balanced,86,86,0.2855260107030909,0.16087938157409554,0.8355412667761186,0.6684968026606736,0.5735647907920185,
RB,hit3,cat,draftcap_plus_top32,38,cat3_scaled,86,86,0.27894585811423706,0.1597889518763431,0.8648813724337153,0.6710523789889665,0.5559224491721307,
RB,hit3,cat,draftcap_plus_top32,38,cat4_scaled,86,86,0.2855260107030909,0.16087938157409554,0.8355412667761186,0.6684968026606736,0.5735647907920185,
RB,hit3,cat,draftcap_plus_top32,38,cat3_balanced_imp,86,0,inf,inf,inf,,,"AttributeError(""The following error was raised: 'CatBoostClassifier' object has no attribute '__sklearn_tags__'. It seems that there are no classes that implement `__sklearn_tags__` in the MRO and/or all classes in the MRO call `super().__sklearn_tags__()`. Make sure to inherit from `BaseEstimator` which implements `__sklearn_tags__` (or alternatively define `__sklearn_tags__` but we don't recommend this approach). Note that `BaseEstimator` needs to be on the right side of other Mixins in the inheritance order."")"
RB,hit3,cat,draftcap_plus_top32,38,cat4_balanced_imp,86,0,inf,inf,inf,,,"AttributeError(""The following error was raised: 'CatBoostClassifier' object has no attribute '__sklearn_tags__'. It seems that there are no classes that implement `__sklearn_tags__` in the MRO and/or all classes in the MRO call `super().__sklearn_tags__()`. Make sure to inherit from `BaseEstimator` which implements `__sklearn_tags__` (or alternatively define `__sklearn_tags__` but we don't recommend this approach). Note that `BaseEstimator` needs to be on the right side of other Mixins in the inheritance order."")"
RB,hit3,cat,ranked_top48,48,cat3_unweighted,86,86,0.22217641599835833,0.13573488912208537,0.7847038943971665,0.649382992490665,0.5282985046464456,
RB,hit3,cat,ranked_top48,48,cat4_unweighted,86,86,0.21289215239628467,0.1301219175088689,0.7068875363229032,0.6540932462366057,0.5442615217698947,
RB,hit3,cat,ranked_top48,48,cat3_balanced,86,86,0.27197373412522236,0.1562509975222447,0.8717020134102564,0.6823889609921522,0.5676211142035003,
