season,position,position_year_rank,position_2023_2026_rank,overall_percentile_rank_2023_2026,pfr_name,draft_team,draft_round,draft_pick,prospect_model_score,prospect_model_percentile,hit_probability,primary_ppg_realized,college_match,fuzzy_match,scout_boost
2023,WR,8,25,68,Marvin Mims Jr.,DEN,2,,7.792127237269915,80.38095238095238,,6.602941176470589,1.0,0.0,0.1044662794310467
2024,WR,8,26,71,Ricky Pearsall,SF,1,31,7.714264141406559,79.23809523809524,0.1253107488155365,,1.0,0.0,0.9603721300937158
2025,WR,7,27,72,Kyle Williams,NWE,3,69,7.622676454581829,78.85714285714286,0.30329987,,1.0,0.0,0.6789281789600254
2026,WR,5,28,72,De'Zhaun Stribling,SFO,2,33,7.555284829556821,78.85714285714286,0.14852121472358704,,1.0,0.0,1.8199351454025403
2024,WR,9,29,72,Keon Coleman,BUF,2,33,7.516633018332333,78.85714285714286,0.17341306805610657,,1.0,0.0,0.2855197306925676
2023,WR,9,30,76,Nathaniel Dell,HOU,3,,7.391597511129447,77.90476190476191,,8.970588235294116,0.0,0.0,0.6201638285459747
2026,WR,6,31,77,Jordyn Tyson,NOR,1,8,7.351202510004004,77.71428571428571,0.2917986512184143,,1.0,0.0,2.1556648854031937
2024,WR,10,32,78,Malachi Corley,NYJ,3,65,7.223660413665462,77.33333333333333,0.2724120020866394,,1.0,0.0,0.2170408426493484
2025,WR,8,33,79,Jayden Higgins,HOU,2,34,7.184912574779917,77.14285714285715,0.39724836,,1.0,0.0,1.1787073729633697
2023,WR,10,34,80,Jayden Reed,GB,2,,6.877318463135248,75.04761904761905,,12.182352941176472,1.0,0.0,0.4544772101525898
2025,WR,9,35,86,Jack Bech,LVR,2,58,6.5556605186658015,72.76190476190476,0.1415581,,1.0,0.0,1.1845005051314699
2024,WR,11,36,89,Adonai Mitchell,IND,2,52,6.3736724584833935,71.80952380952381,0.1139068603515625,,1.0,0.0,0.3115588549641619
2025,WR,10,37,94,Pat Bryant,DEN,3,74,6.226603510404167,70.85714285714285,0.16251701,,1.0,0.0,0.9455490254118821
2025,WR,11,38,98,Jaylin Noel,HOU,3,79,6.103470229216687,69.9047619047619,0.24935624,,1.0,0.0,0.5112495656091323
2024,WR,12,39,101,Jacob Cowing,SF,4,135,5.998173062224888,69.71428571428572,0.17141805589199066,,1.0,0.0,-1.1731360263379371
2026,WR,7,40,102,Omar Cooper Jr.,NYJ,1,30,5.960267758103249,69.14285714285714,0.06986859440803528,,1.0,0.0,0.3417855919870716
2024,WR,13,41,110,Ja'Lynn Polk,NE,2,37,5.6801641871748725,67.04761904761905,0.1280847191810608,,1.0,0.0,0.6996442946675523
2026,WR,8,42,111,Germie Bernard,PIT,2,47,5.660352908288315,66.85714285714286,0.07231198251247406,,1.0,0.0,0.44392548001679
2026,WR,9,43,115,Elijah Sarratt,BAL,4,115,5.434221705682271,64.95238095238095,0.146666020154953,,1.0,0.0,-1.6321828396915623
2026,WR,10,44,115,Malachi Fields,NYG,3,74,5.400392316551621,64.95238095238095,0.06017651408910751,,1.0,0.0,0.1342940741976583
2024,WR,14,45,117,Jermaine Burton,CIN,3,80,5.356739304721887,64.38095238095238,0.08348270505666733,,1.0,0.0,-0.7174680398219828
2023,WR,11,46,118,Cedric Tillman,CLE,3,,5.309841765664598,64.0,,4.129411764705882,1.0,0.0,0.9181457374492376
2024,WR,15,47,119,Roman Wilson,PIT,3,84,5.272874828431374,63.61904761904762,0.07116067409515381,,1.0,0.0,-0.3378149392477256
2024,WR,16,48,121,Jalen McMillan,TB,3,92,5.224172282204551,63.23809523809524,0.11665233224630356,,1.0,0.0,-0.6476981866575273
2026,WR,11,49,125,Antonio Williams,WAS,3,71,5.087450011129453,62.476190476190474,0.09239408373832703,,1.0,0.0,0.4831385364879299
2026,WR,12,50,126,Caleb Douglas,MIA,3,75,4.990803552546019,62.095238095238095,0.06028268113732338,,1.0,0.0,-0.0462108524026243
2025,WR,12,51,129,Isaac TeSlaa,DET,3,70,4.947292410964386,61.904761904761905,0.17879988,,1.0,0.0,1.4268850532872932
2026,WR,13,52,130,Ted Hurst,TAM,3,84,4.924652876150459,61.523809523809526,0.22577476501464844,,1.0,0.0,0.7126772734525373
2025,WR,13,53,132,Tory Horton,SEA,5,166,4.826903100115047,61.142857142857146,0.04694339,,1.0,0.0,-0.0324290239023064
2025,WR,14,54,133,Tai Felton,MIN,3,102,4.801731898050886,60.952380952380956,0.035213478,,1.0,0.0,0.3631977301400289
2024,WR,17,55,135,Luke McCaffrey,WAS,3,100,4.776556708683473,60.57142857142858,0.08289101719856262,,1.0,0.0,-0.4984792892369896
2026,WR,14,56,136,Chris Bell,MIA,3,94,4.660868620406493,59.80952380952381,0.09311939775943756,,1.0,0.0,-0.5265480721744158
2024,WR,18,57,136,Troy Franklin,DEN,4,102,4.629222487161531,59.80952380952381,0.0969933345913887,,1.0,0.0,-1.619150931968102
2025,WR,15,58,136,Dont'e Thornton,LVR,4,108,4.5875430072028855,59.80952380952381,0.028485429,,1.0,0.0,0.2442771372117445
2025,WR,16,59,136,Jalen Royals,KAN,4,133,4.57230576055422,59.80952380952381,0.04266418,,1.0,0.0,0.4877864488539174
2026,WR,15,60,144,Brenen Thompson,LAC,4,105,4.1361262229891995,56.38095238095238,0.03041176125407219,,1.0,0.0,-0.2158707821414269
